Key,English(en),French(fr),German(de),Hindi(hi),Italian(it),Polish(pl),Russian(ru),Spanish(es),Ukrainian(uk),Turkish(tr)
init.age_unit,winter cycles,cycles d'hiver,Winterzyklen,शीतकालीन चक्र,cicli invernali,cykle zimowe,зимних циклов,ciclos de invierno,зимових циклів,kış döngüsü
term.user_entity,Master,Maître,Meister,मास्टर,Maestro,Mistrz,Мастер,Maestro,Майстер,Usta
term.currency,Horas,Horas,Horas,Horas,Horas,Horas,Horas,Horas,Horas,Horas
term.hub_space,Nexus,Nexus,Nexus,नेक्सस,Nexus,Nexus,Нексус,Nexus,Нексус,Nexus
term.search_action,Symmetry,Symétrie,Symmetrie,समरूपता,Simmetria,Symetria,Симметрия,Simetría,Симетрія,Simetri
term.active_interaction,Harmony,Harmonie,Harmonie,तालमेल,Armonia,Harmonia,Гармония,Armonía,Гармонія,Uyum
term.active_interaction.business,SYNERGY,SYNERGIE,SYNERGIE,तालमेल,SINERGIA,SYNERGIA,СИНЕРГИЯ,SINERGIA,СИНЕРГІЯ,SİNERJİ
term.active_interaction.casual,CHILLIN,DÉTENTE,CHILLEN,чилिन,CHILLIN,CHILLIN,ЧИЛЛИН,CHILLIN,ЧІЛЛІН,CHILLIN
term.active_interaction.tech,PROCESS_SYNC,SYNC_PROCESSUS,SYNC_PROZESS,प्रक्रिया_सिнк,SYNC_PROCESSO,SYNC_PROCESU,СИНХ_ПРОЦЕССА,SYNC_PROCESO,СИНХ_ПРОЦЕСУ,SÜREÇ_SENK
term.reputation,Status,Statut,Status,स्थिति,Status,Status,Статус,Estado,Статус,Statü
term.social_feed,Convergence,Convergence,Konvergenz,अभिसरण,Convergenza,Konwergencja,Конвергенция,Convergencia,Конвергенція,Yakınsama
term.avatar,Visage,Visage,Antlitz,चेहरे,Volto,Oblicze,Облик,Rostro,Образ,Görünüm
term.profile,Aura,Aura,Aura,औरा,Aura,Aura,Аура,Aura,Аура,Aura
term.profile.business,NETWORKING,RÉSEAUTAGE,NETZWERK,नेटवर्किंग,NETWORKING,NETWORKING,НЕТВОРКИНГ,NETWORKING,НЕТВОРКІНГ,AĞ KURMA
term.profile.casual,MY VIBE,MON VIBE,MEIN VIBE,मेरा वाइб,IL MIO VIBE,MÓJ VIBE,МОЙ ВАЙБ,MI VIBE,МІЙ ВАЙБ,VIBE'IM
term.profile.tech,USER_DATA,DONNÉES_UTILISATEUR,BENUTZERDATEN,उपयोगकर्ता_डेटा,DATI_UTENTE,DANE_UŻYTKOWNIKA,ДАННЫЕ_ПОЛЬЗОВАТЕЛЯ,DATOS_USUARIO,ДАНІ_КОРИСТУВАЧА,KULLANICI_VERISI
term.post,Chronicle,Chronique,Chronik,कालक्रम,Cronaca,Kronika,Хроника,Crónica,Хроніка,Kronoloji
term.feed,Feed,Flux,Feed,फीड,Flusso,Strumień,Лента,Flujo,Стрічка,Akış
term.story,Fate,Destin,Schicksal,भाग्य,Destino,Los,Судьба,Destino,Доля,Kader
term.login,Initiate Harmony,Initiation de l'Harmonie,Einweihung der Harmonie,हार्मोні आरंभ करें,Inizia l'Armonia,Rozpocznij Harmonię,Инициировать Гармонию,Iniciar Armonía,Започаткувати Гармонію,Uyumu Başlat
term.login.mystic,START RITUAL,COMMENCER LE RITUEL,RITUAL BEGINNEN,अनुष्ठान शुरू करें,INIZIA RITUALE,ROZPOCZNIJ RYTUAŁ,НАЧАТЬ РИТУАЛ,INICIAR RITUAL,ПОЧАТИ РИТУАЛ,RİTÜELİ BAŞLAT
term.login.business,LOG IN,SE CONNECTER,ANMELDEN,लॉग इन करें,ACCEDI,ZALOGUJ SIĘ,ВОЙТИ,INICIAR SESIÓN,УВІЙТИ,GİRİŞ YAP
term.login.casual,LET'S GO!,C'EST PARTI !,AUF GEHT'S!,चलो चलें!,ANDIAMO!,LECIMY!,ПОГНАЛИ!,¡VAMOS!,ПОГНАЛИ!,HAYDİ!
term.login.tech,LOGIN_SYSTEM,SYSTEM_LOGIN,SYSTEM_ANMELDUNG,लॉगिन_система,LOGIN_SISTEMA,LOGOWANIE_SYSTEMU,ВХОД_В_СИСТЕМУ,INICIO_SISTEMA,ВХІД_У_СИСТЕМУ,SİSTEME_GİRİŞ
term.like,Transform,Transformer,Transformieren,रूपांतरित करें,Trasformare,Transformować,Трансформировать,Transformar,Трансформувати,Dönüştür
term.comment,Connection,Connexion,Verbindung,संबंध,Connessione,Połączenie,Связь,Conexión,Зв'язок,Bağlantı
term.share,Resonate,Résonner,Resonieren,अनुरणन,Risonare,Rezonować,Резонировать,Resonar,Резонувати,Rezonans
term.follow,Align,Aligner,Ausrichten,संरेखित करें,Allineare,Wyrównać,Выровнять,Alinear,Вирівняти,Hizala
term.phone_number,Phone Number,Numéro de téléphone,Telefonnummer,फ़ोन नंबर,Numero di telefono,Numer telefonu,Номер телефона,Número de teléfono,Номер телефону,Telefon Numarası
term.phone_number.mystic,Digital Signature,Signature numérique,Digitale Signatur,डिजिटल हस्ताक्षर,Firma digitale,Cyfrowy podpis,Цифровая подпись,Firma digital,Числовий відбиток,Dijital İmza
term.phone_number.business,Phone Number,Numéro de téléphone,Telefonnummer,फ़ोन नंबर,Numero di telefono,Numer telefonu,Номер телефона,Número de teléfono,Номер телефону,Telefon Numarası
term.phone_number.casual,Your Number,Ton numéro,Deine Nummer,Deine Nummer,Il tuo numero,Twój numer,Твой номер,Tu número,Твій номер,Numaran
term.phone_number.tech,PHONE_ID,ID_TÉLÉPHONE,TELEFON_ID,फोन_आईडी,ID_TELEFONO,ID_TELEFONU,ID_ТЕЛЕФОНУ,ID_TELÉFONO,ID_ТЕЛЕФОНУ,TELEFON_ID
term.logout,Dissolution,Dissolution,Auflösung,वियोजन,Dissoluzione,Rozwiązanie,Растворение,Disolución,Розчинення,Çözülme
term.register,Awakening,Éveil,Erwachen,जागरण,Risveglio,Przebudzenie,Пробуждение,Despertar,Пробудження,Uyanış
